anio,oficina_representacion,serv_culturales_derechohab_publ,serv_deportivos_derechohab_publ,serv_sociales_derechohab_publ,serv_funerarios_derechohab_publ,serv_sociales_pensionados_jubl,fome_deportivo_pensionados_jubl,serv_culturales_pensionados_jubl,soci_comedores_pensionados_jubl,fecha
2013,Aguascalientes,38316.0,27460.0,,195.0,6844.0,3793.0,11569.0,,2013-01-01
2013,Baja California,63172.0,35382.0,,86.0,1055.0,1605.0,10342.0,,2013-01-01
2013,Baja California Sur,22917.0,27582.0,,34.0,2833.0,2489.0,3754.0,,2013-01-01
2013,Campeche,85376.0,71675.0,,82.0,5583.0,5330.0,10283.0,,2013-01-01
2013,Coahuila,65886.0,92230.0,,4.0,9635.0,16641.0,11413.0,,2013-01-01
2013,Colima,75766.0,37125.0,,36.0,6205.0,1300.0,9513.0,,2013-01-01
2013,Chiapas,92979.0,23992.0,,200.0,1475.0,12000.0,1471.0,,2013-01-01
2013,Chihuahua,39497.0,57939.0,,165.0,11111.0,2543.0,7611.0,,2013-01-01
2013,Durango,88495.0,56697.0,,22.0,1795.0,10806.0,4091.0,,2013-01-01
2013,Guanajuato,100270.0,63099.0,,64.0,1320.0,2450.0,7530.0,,2013-01-01
2013,Guerrero,41618.0,38573.0,,72.0,890.0,3312.0,4932.0,,2013-01-01
2013,Hidalgo,111194.0,79355.0,,74.0,1114.0,2835.0,5566.0,,2013-01-01
2013,Jalisco,43939.0,36767.0,,377.0,22123.0,3158.0,6904.0,,2013-01-01
2013,Mexico,81763.0,22479.0,,3845.0,,2378.0,2488.0,,2013-01-01
2013,Michoacan,19086.0,28705.0,,229.0,11981.0,2440.0,5494.0,,2013-01-01
2013,Morelos,144600.0,16066.0,,53.0,1487.0,5015.0,6422.0,,2013-01-01
2013,Nayarit,88738.0,54785.0,,193.0,8403.0,3415.0,3864.0,,2013-01-01
2013,Nuevo Leon,133369.0,33175.0,,2376.0,9970.0,2236.0,11513.0,,2013-01-01
2013,Oaxaca,273717.0,18736.0,,94.0,6178.0,1543.0,29140.0,,2013-01-01
